조사년도,대학구분,학교구분,지역,설립구분,학교명,본분교명,단과대학,학부·과(전공)명,주야구분,학과특성,학과상태,표준대계열,표준중계열,표준소계열,대학 자체 대개열,수업연한,학위과정
2020,전문대학,전문대학(2년제),광주,사립,조선이공대학교,본교,단과대구분없음,컴퓨터보안과,주간,일반과정,기존,공학계열,전기·전자·컴퓨터,정보·통신공학,공학계열,2년,전문학사
2020,대학원,일반대학원,서울,사립,중앙대학교 대학원,본교,단과대구분없음,컴퓨터공학과,주간,일반과정,기존,공학계열,전기·전자·컴퓨터,전산학·컴퓨터공학,공학계열,4년,"석사,박사, 석박사통합"
2020,대학,대학교,충북,사립,중원대학교,본교,융합과학기술대학,컴퓨터공학과,주간,일반과정,기존,공학계열,전기·전자·컴퓨터,전산학·컴퓨터공학,공학계열,4년,학사
2020,대학,교육대학,경남,국립,진주교육대학교,본교,단과대구분없음,컴퓨터교육과(심화전공),주간,일반과정,기존,인문사회계열,교육,초등교육,자연과학계열,4년,학사
2020,대학,대학교,경남,사립,창신대학교,본교,미래융합지식대학,컴퓨터소프트웨어공학과,주간,일반과정,기존,공학계열,전기·전자·컴퓨터,응용소프트웨어공학,공학계열,4년,학사
2020,전문대학,전문대학(3년제),경남,사립,창원문성대학교,본교,단과대구분없음,컴퓨터공학전공,주간,일반과정,기존,공학계열,전기·전자·컴퓨터,전산학·컴퓨터공학,공학계열,2년,전문학사
2020,대학,산업대학,충남,사립,청운대학교,본교,공과대학,컴퓨터공학과,주간,일반과정,기존,공학계열,전기·전자·컴퓨터,전산학·컴퓨터공학,공학계열,4년,학사
2020,대학,대학교,대전,국립,충남대학교,본교,공과대학,컴퓨터융합학부,주간,일반과정,기존,공학계열,전기·전자·컴퓨터,전산학·컴퓨터공학,공학계열,4년,학사
2020,대학,대학교,충북,국립,충북대학교,본교,전자정보대학,컴퓨터공학과,주간,일반과정,기존,공학계열,전기·전자·컴퓨터,전산학·컴퓨터공학,공학계열,4년,학사
2020,전문대학,전문대학(2년제),충북,공립,충북도립대학교,본교,단과대구분없음,컴퓨터드론과,주간,일반과정,기존,공학계열,전기·전자·컴퓨터,정보·통신공학,공학계열,2년,전문학사
2020,전문대학,전문대학(2년제),충북,사립,충북보건과학대학교,본교,단과대구분없음,컴퓨터응용기계과,주간,일반과정,기존,공학계열,기계,기계공학,공학계열,2년,전문학사
2020,전문대학,전문대학(2년제),충북,사립,충청대학교,본교,단과대구분없음,컴퓨터전자과,주간,일반과정,변경,공학계열,전기·전자·컴퓨터,전자공학,공학계열,2년,전문학사
2020,대학원,일반대학원,경기,국립,한경대학교 일반대학원,본교,단과대구분없음,컴퓨터응용수학부,주간,일반과정,통합,공학계열,N.C.E,N.C.E.,공학계열,2년,석사
2020,대학원,일반대학원,충북,국립,한국교원대학교 대학원,본교,단과대구분없음,컴퓨터교육전공,주간,일반과정,기존,공학계열,교육,N.C.E.,공학계열,3년,"석사, 박사"
2020,대학,대학교,충북,국립,한국교통대학교,본교,융합기술대학,컴퓨터공학전공,주간,일반과정,통합,공학계열,전기·전자·컴퓨터,전산학·컴퓨터공학,공학계열,4년,학사
2020,대학원,일반대학원,충북,국립,한국교통대학교 대학원,본교,단과대구분없음,컴퓨터공학과,주간,일반과정,기존,공학계열,전기·전자·컴퓨터,전산학·컴퓨터공학,공학계열,2년,"석사, 박사"
2020,대학원,일반대학원,충북,국립,한국교통대학교 대학원,본교,단과대구분없음,컴퓨터정보공학과,주간,일반과정,기존,공학계열,전기·전자·컴퓨터,전산학·컴퓨터공학,공학계열,2년,석사
2020,대학원,일반대학원,충남,사립,한국기술교육대학교 대학원,본교,단과대구분없음,컴퓨터공학과,주간,일반과정,기존,공학계열,전기·전자·컴퓨터,전산학·컴퓨터공학,공학계열,4년,"석사,박사, 석박사통합"
2020,대학,대학교,경기,사립,한국산업기술대학교,본교,단과대구분없음,컴퓨터공학부,주간,일반과정,기존,공학계열,전기·전자·컴퓨터,전산학·컴퓨터공학,공학계열,4년,학사
2020,대학,대학교,경기,사립,한국산업기술대학교,본교,단과대구분없음,컴퓨터공학부(컴퓨터공학전공),주간,일반과정,기존,공학계열,전기·전자·컴퓨터,전산학·컴퓨터공학,공학계열,4년,학사
2020,대학,대학교,서울,사립,한국외국어대학교,본교,공과대학,컴퓨터.전자시스템공학전공,주간,일반과정,기존,공학계열,전기·전자·컴퓨터,N.C.E.,공학계열,4년,학사
2020,대학원,일반대학원,서울,사립,한국외국어대학교 일반대학원,본교,단과대구분없음,컴퓨터.전자시스템공학과,주간,일반과정,기존,공학계열,전기·전자·컴퓨터,N.C.E.,공학계열,3년,"석사,박사, 석박사통합"
2020,전문대학,기능대학,강원,사립,한국폴리텍 III 대학 원주캠퍼스,본교,단과대구분없음,컴퓨터응용기계과,주간,일반과정,기존,공학계열,기계,기계공학,공학계열,2년,전문학사
2020,전문대학,기능대학,전남,사립,한국폴리텍 V 대학 목포캠퍼스,본교,단과대구분없음,컴퓨터응용기계설계과,주간,일반과정,기존,공학계열,기계,기전공학,공학계열,2년,전문학사
