A 행정구역(시군구)별,M202202 2022.02,M202203 2022.03,M202204 2022.04,M202205 2022.05,공백찾기,코드,명칭
44130 천안시,298808,299485,300195,300798,6,44130,천안시
44131 동남구,117346,117555,117771,118181,6,44131,동남구
44133 서북구,181462,181930,182424,182617,6,44133,서북구
44150 공주시,51684,52111,52156,52182,6,44150,공주시
44180 보령시,49421,49528,49586,49635,6,44180,보령시
44200 아산시,147704,148330,148703,149080,6,44200,아산시
44210 서산시,81664,81737,81801,81921,6,44210,서산시
44230 논산시,58205,58244,58272,58265,6,44230,논산시
44250 계룡시,17298,17345,17396,17422,6,44250,계룡시
44270 당진시,79627,79779,79859,79987,6,44270,당진시
44710 금산군,25878,25910,25938,25971,6,44710,금산군
44760 부여군,33217,33185,33186,33213,6,44760,부여군
44770 서천군,26659,26707,26700,26711,6,44770,서천군
44790 청양군,16449,16626,16634,16623,6,44790,청양군
44800 홍성군,46793,46800,46818,46833,6,44800,홍성군
44810 예산군,38983,39002,38992,39120,6,44810,예산군
44825 태안군,32900,32987,33018,33105,6,44825,태안군
45 전라북도,850567,851558,852086,852829,3,45,전라북도
45110 전주시,293865,294245,294429,294607,6,45110,전주시
45111 완산구,152221,152435,152480,152536,6,45111,완산구
45113 덕진구,141644,141810,141949,142071,6,45113,덕진구
45118 전주시효자출장소,0,0,0,0,6,45118,전주시효자출장소
45130 군산시,122505,122594,122677,122683,6,45130,군산시
45140 익산시,129975,130220,130243,130352,6,45140,익산시
45145 익산시함열출장소,0,0,0,0,6,45145,익산시함열출장소
45180 정읍시,54410,54423,54391,54410,6,45180,정읍시
45190 남원시,39729,39743,39773,39772,6,45190,남원시
45210 김제시,42633,42701,42743,42835,6,45210,김제시
45710 완주군,44122,44189,44299,44397,6,45710,완주군
45720 진안군,13546,13593,13594,13597,6,45720,진안군
45730 무주군,12861,12911,12922,12954,6,45730,무주군
45740 장수군,11591,11603,11602,11614,6,45740,장수군
45750 임실군,14911,14921,14970,15048,6,45750,임실군
45770 순창군,13980,13986,14015,14058,6,45770,순창군
45790 고창군,28798,28767,28731,28771,6,45790,고창군
45800 부안군,27641,27662,27697,27731,6,45800,부안군
46 전라남도,905202,905818,906664,907606,3,46,전라남도
46110 목포시,103582,103550,103595,103637,6,46110,목포시
46130 여수시,128498,128514,128511,128595,6,46130,여수시
46150 순천시,124198,124544,124782,125030,6,46150,순천시
46170 나주시,59526,59492,59518,59563,6,46170,나주시
46230 광양시,67626,67667,67754,67916,6,46230,광양시
46710 담양군,24828,24849,24868,24905,6,46710,담양군
46720 곡성군,15519,15544,15587,15604,6,46720,곡성군
46730 구례군,13465,13477,13517,13503,6,46730,구례군
46770 고흥군,35420,35465,35498,35545,6,46770,고흥군
46780 보성군,22501,22482,22508,22498,6,46780,보성군
46790 화순군,32147,32164,32189,32250,6,46790,화순군
46800 장흥군,20063,20024,20020,20013,6,46800,장흥군
46810 강진군,18560,18540,18557,18565,6,46810,강진군
46820 해남군,35245,35260,35237,35202,6,46820,해남군
46830 영암군,28262,28316,28422,28516,6,46830,영암군
46840 무안군,42839,42890,42957,43050,6,46840,무안군
46860 함평군,17945,18033,18019,18018,6,46860,함평군
46870 영광군,27236,27292,27333,27411,6,46870,영광군
46880 장성군,23244,23216,23251,23239,6,46880,장성군
46890 완도군,25985,25957,25966,25953,6,46890,완도군
46900 진도군,16690,16674,16687,16682,6,46900,진도군
46910 신안군,21823,21868,21888,21911,6,46910,신안군
47 경상북도,1279337,1281587,1282737,1284046,3,47,경상북도
47110 포항시,232573,232609,232602,232593,6,47110,포항시
47111 남구,109597,109598,109611,109668,6,47111,남구
47113 북구,122976,123011,122991,122925,6,47113,북구
47130 경주시,123365,123578,123823,123933,6,47130,경주시
47150 김천시,68494,68789,68900,68984,6,47150,김천시
47170 안동시,77681,77742,77836,77914,6,47170,안동시
47190 구미시,183038,183121,183228,183527,6,47190,구미시
47210 영주시,50387,50450,50487,50522,6,47210,영주시
47230 영천시,53890,54090,54133,54173,6,47230,영천시
47250 상주시,49212,49330,49385,49392,6,47250,상주시
47280 문경시,37102,37666,37702,37769,6,47280,문경시
47290 경산시,125244,125450,125549,125802,6,47290,경산시
47720 군위군,13344,13457,13526,13575,6,47720,군위군
47730 의성군,28846,28930,28976,29008,6,47730,의성군
47750 청송군,14051,14085,14110,14106,6,47750,청송군
47760 영양군,9052,9074,9111,9127,6,47760,영양군
47770 영덕군,19860,19880,19872,19848,6,47770,영덕군
47820 청도군,23324,23330,23331,23329,6,47820,청도군
47830 고령군,16611,16611,16606,16596,6,47830,고령군
47840 성주군,23721,23757,23787,23831,6,47840,성주군
47850 칠곡군,54066,54130,54167,54328,6,47850,칠곡군
47900 예천군,27828,27808,27868,27872,6,47900,예천군
47920 봉화군,16864,16868,16908,16922,6,47920,봉화군
47930 울진군,25453,25457,25438,25480,6,47930,울진군
47940 울릉군,5331,5375,5392,5415,6,47940,울릉군
48 경상남도,1508852,1510929,1512847,1514453,3,48,경상남도
48120 창원시,453157,454034,455079,455747,6,48120,창원시
48121 의창구,95941,96112,96283,96406,6,48121,의창구
48123 성산구,105305,105528,106050,106275,6,48123,성산구
48125 마산합포구,84392,84637,84795,84910,6,48125,마산합포구
48127 마산회원구,82420,82500,82611,82666,6,48127,마산회원구
48129 진해구,85099,85257,85340,85490,6,48129,진해구
48170 진주시,157623,157878,158186,158477,6,48170,진주시
48220 통영시,59747,59829,59782,59782,6,48220,통영시
48240 사천시,54039,54086,54125,54176,6,48240,사천시
48245 사천남양출장소,0,0,0,0,6,48245,사천남양출장소
48250 김해시,226665,226996,227366,227699,6,48250,김해시
48252 장유출장소,0,0,0,0,6,48252,장유출장소
48270 밀양시,53171,53251,53260,53306,6,48270,밀양시
48310 거제시,103628,103602,103596,103590,6,48310,거제시
48330 양산시,154135,154366,154464,154571,6,48330,양산시
48332 양산시웅상출장소,0,0,0,0,6,48332,양산시웅상출장소
48720 의령군,15064,15092,15125,15130,6,48720,의령군
48730 함안군,30980,30984,30965,30960,6,48730,함안군
48740 창녕군,32568,32537,32542,32575,6,48740,창녕군
48820 고성군,26250,26249,26266,26261,6,48820,고성군
48840 남해군,22788,22866,22890,22918,6,48840,남해군
48850 하동군,23778,23738,23739,23751,6,48850,하동군
48860 산청군,19581,19584,19594,19627,6,48860,산청군
48870 함양군,20876,20902,20955,20975,6,48870,함양군
48880 거창군,30573,30716,30704,30697,6,48880,거창군
48890 합천군,24229,24219,24209,24211,6,48890,합천군
50 제주특별자치도,308530,308988,309322,309822,3,50,제주특별자치도
50110 제주시,220558,220899,221135,221471,6,50110,제주시
50130 서귀포시,87972,88089,88187,88351,6,50130,서귀포시
