부여군,"33,217","33,185","33,186","33,213"
서천군,"26,659","26,707","26,700","26,711"
청양군,"16,449","16,626","16,634","16,623"
홍성군,"46,793","46,800","46,818","46,833"
예산군,"38,983","39,002","38,992","39,120"
태안군,"32,900","32,987","33,018","33,105"
전주시,"293,865","294,245","294,429","294,607"
완산구,"152,221","152,435","152,480","152,536"
덕진구,"141,644","141,810","141,949","142,071"
전주시효자출장소, - , - , - , - 
군산시,"122,505","122,594","122,677","122,683"
익산시,"129,975","130,220","130,243","130,352"
익산시함열출장소, - , - , - , - 
정읍시,"54,410","54,423","54,391","54,410"
남원시,"39,729","39,743","39,773","39,772"
김제시,"42,633","42,701","42,743","42,835"
완주군,"44,122","44,189","44,299","44,397"
진안군,"13,546","13,593","13,594","13,597"
무주군,"12,861","12,911","12,922","12,954"
장수군,"11,591","11,603","11,602","11,614"
임실군,"14,911","14,921","14,970","15,048"
순창군,"13,980","13,986","14,015","14,058"
고창군,"28,798","28,767","28,731","28,771"
부안군,"27,641","27,662","27,697","27,731"
목포시,"103,582","103,550","103,595","103,637"
여수시,"128,498","128,514","128,511","128,595"
순천시,"124,198","124,544","124,782","125,030"
나주시,"59,526","59,492","59,518","59,563"
광양시,"67,626","67,667","67,754","67,916"
담양군,"24,828","24,849","24,868","24,905"
곡성군,"15,519","15,544","15,587","15,604"
구례군,"13,465","13,477","13,517","13,503"
고흥군,"35,420","35,465","35,498","35,545"
보성군,"22,501","22,482","22,508","22,498"
화순군,"32,147","32,164","32,189","32,250"
장흥군,"20,063","20,024","20,020","20,013"
강진군,"18,560","18,540","18,557","18,565"
해남군,"35,245","35,260","35,237","35,202"
영암군,"28,262","28,316","28,422","28,516"
무안군,"42,839","42,890","42,957","43,050"
함평군,"17,945","18,033","18,019","18,018"
영광군,"27,236","27,292","27,333","27,411"
장성군,"23,244","23,216","23,251","23,239"
완도군,"25,985","25,957","25,966","25,953"
진도군,"16,690","16,674","16,687","16,682"
신안군,"21,823","21,868","21,888","21,911"
포항시,"232,573","232,609","232,602","232,593"
남구,"109,597","109,598","109,611","109,668"
북구,"122,976","123,011","122,991","122,925"
경주시,"123,365","123,578","123,823","123,933"
김천시,"68,494","68,789","68,900","68,984"
안동시,"77,681","77,742","77,836","77,914"
구미시,"183,038","183,121","183,228","183,527"
영주시,"50,387","50,450","50,487","50,522"
영천시,"53,890","54,090","54,133","54,173"
상주시,"49,212","49,330","49,385","49,392"
문경시,"37,102","37,666","37,702","37,769"
경산시,"125,244","125,450","125,549","125,802"
군위군,"13,344","13,457","13,526","13,575"
의성군,"28,846","28,930","28,976","29,008"
청송군,"14,051","14,085","14,110","14,106"
영양군,"9,052","9,074","9,111","9,127"
영덕군,"19,860","19,880","19,872","19,848"
청도군,"23,324","23,330","23,331","23,329"
고령군,"16,611","16,611","16,606","16,596"
성주군,"23,721","23,757","23,787","23,831"
칠곡군,"54,066","54,130","54,167","54,328"
예천군,"27,828","27,808","27,868","27,872"
봉화군,"16,864","16,868","16,908","16,922"
울진군,"25,453","25,457","25,438","25,480"
울릉군,"5,331","5,375","5,392","5,415"
창원시,"453,157","454,034","455,079","455,747"
의창구,"95,941","96,112","96,283","96,406"
성산구,"105,305","105,528","106,050","106,275"
마산합포구,"84,392","84,637","84,795","84,910"
마산회원구,"82,420","82,500","82,611","82,666"
진해구,"85,099","85,257","85,340","85,490"
진주시,"157,623","157,878","158,186","158,477"
통영시,"59,747","59,829","59,782","59,782"
사천시,"54,039","54,086","54,125","54,176"
사천남양출장소, - , - , - , - 
김해시,"226,665","226,996","227,366","227,699"
장유출장소, - , - , - , - 
밀양시,"53,171","53,251","53,260","53,306"
거제시,"103,628","103,602","103,596","103,590"
양산시,"154,135","154,366","154,464","154,571"
양산시웅상출장소, - , - , - , - 
의령군,"15,064","15,092","15,125","15,130"
함안군,"30,980","30,984","30,965","30,960"
창녕군,"32,568","32,537","32,542","32,575"
고성군,"26,250","26,249","26,266","26,261"
남해군,"22,788","22,866","22,890","22,918"
하동군,"23,778","23,738","23,739","23,751"
산청군,"19,581","19,584","19,594","19,627"
함양군,"20,876","20,902","20,955","20,975"
거창군,"30,573","30,716","30,704","30,697"
합천군,"24,229","24,219","24,209","24,211"
제주시,"220,558","220,899","221,135","221,471"
서귀포시,"87,972","88,089","88,187","88,351"
